external_id,topic_slug,type,status,content_vi,explanation_vi,content_en,explanation_en,media_ids,option_1_label,option_1_content_vi,option_1_content_en,option_1_match_vi,option_1_match_en,option_1_correct,option_2_label,option_2_content_vi,option_2_content_en,option_2_match_vi,option_2_match_en,option_2_correct,option_3_label,option_3_content_vi,option_3_content_en,option_3_match_vi,option_3_match_en,option_3_correct,option_4_label,option_4_content_vi,option_4_content_en,option_4_match_vi,option_4_match_en,option_4_correct,option_5_label,option_5_content_vi,option_5_content_en,option_5_match_vi,option_5_match_en,option_5_correct,option_6_label,option_6_content_vi,option_6_content_en,option_6_match_vi,option_6_match_en,option_6_correct,option_7_label,option_7_content_vi,option_7_content_en,option_7_match_vi,option_7_match_en,option_7_correct,option_8_label,option_8_content_vi,option_8_content_en,option_8_match_vi,option_8_match_en,option_8_correct,option_9_label,option_9_content_vi,option_9_content_en,option_9_match_vi,option_9_match_en,option_9_correct,option_10_label,option_10_content_vi,option_10_content_en,option_10_match_vi,option_10_match_en,option_10_correct,option_11_label,option_11_content_vi,option_11_content_en,option_11_match_vi,option_11_match_en,option_11_correct,option_12_label,option_12_content_vi,option_12_content_en,option_12_match_vi,option_12_match_en,option_12_correct,option_13_label,option_13_content_vi,option_13_content_en,option_13_match_vi,option_13_match_en,option_13_correct,option_14_label,option_14_content_vi,option_14_content_en,option_14_match_vi,option_14_match_en,option_14_correct,option_15_label,option_15_content_vi,option_15_content_en,option_15_match_vi,option_15_match_en,option_15_correct,option_16_label,option_16_content_vi,option_16_content_en,option_16_match_vi,option_16_match_en,option_16_correct,option_17_label,option_17_content_vi,option_17_content_en,option_17_match_vi,option_17_match_en,option_17_correct,option_18_label,option_18_content_vi,option_18_content_en,option_18_match_vi,option_18_match_en,option_18_correct,option_19_label,option_19_content_vi,option_19_content_en,option_19_match_vi,option_19_match_en,option_19_correct,option_20_label,option_20_content_vi,option_20_content_en,option_20_match_vi,option_20_match_en,option_20_correct
24eee5ae-ae67-4db7-a7ac-f5a9f86bdd62,exam-hall-04,SINGLE_CHOICE,DRAFT,,,"The first version delivered to the quality control team has poor performance, and the testers are complaining that they cannot complete all the test cases as planned. Which is a tool to help to monitor performance?",,,A,,A.Run Chart,,,TRUE,B,,B.Data Flow Diagram,,,FALSE,C,,C.Flow Chart,,,FALSE,D,,D.Non-Control Chart,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321c8390-c3da-472f-ac67-be2f88c27537,exam-hall-04,SINGLE_CHOICE,DRAFT,,,A project manager for a small company is assigned to a project with a scope that is complex and new. The program manager recommends creating a team with individuals that can offer complementary expertise. What are the characteristics of the network that should be built?,,,A,,"A.Central coordination, team members with internal and external stakeholders, all participants abiding to the work agreement and set of rules",,,FALSE,B,,"B.Self-organized, team members with internal and external stakeholders, all participants abiding to the work agreement and set of rules",,,TRUE,C,,"C.Self-organized, team members with internal stakeholders, all participants abiding to the work agreement and set of rules",,,FALSE,D,,"D.Central coordination, team members with internal stakeholders, all participants abiding to the work agreement and set of rules",,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5afedc36-a429-49fc-ba24-2e3ef819e8f0,exam-hall-04,SINGLE_CHOICE,DRAFT,,,"In the middle of project execution, the project sponsor leaves, and a new sponsor is assigned. The new sponsor is requesting major revisions to the deliverables. What should the project manager do?",,,A,,A.Implement all the changes to the deliverables.,,,FALSE,B,,B.Request additional resources to adjust the deliverables.,,,FALSE,C,,C.Evaluate the possible impacts of the changes.,,,TRUE,D,,D.Extend the project timeline to include the changes.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5a12b53-8951-4175-8524-6767a2e9f831,exam-hall-04,SINGLE_CHOICE,DRAFT,,,A new Scrum project manager at a company is contracted to build a traffic measurement and control application for a municipality. The project manager is notified that the municipality has just rejected the traffic measurement portion of the application because it does not comply with longstanding national regulations. What should the project manager have done to avoid this situation?,,,A,,A.Requested that the product owner handle the regulation compliance.,,,FALSE,B,,B.Allocated an experienced team member to validate regulatory compliance.,,,TRUE,C,,C.Made the scrum master solely responsible for regulatory compliance.,,,FALSE,D,,D.Discussed the importance of regulation compliance with the sponsor.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883b86d6-0166-4c3d-9a3f-4ce0419ed209,exam-hall-04,SINGLE_CHOICE,DRAFT,,,A company has decided to form agile teams within the organization to improve project results and take advantage of new opportunities in the market. A project manager with extensive agile experience was recruited to oversee the process. What should the project manager do first?,,,A,,"A.Recruit, appoint, and evaluate new agile project practitioners.",,,FALSE,B,,B.Implement an agile project management office (PMO).,,,FALSE,C,,C.Determine the criteria for when to launch agile projects.,,,TRUE,D,,D.Perform a retrospective analysis of prior project experiences.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d12eda94-f212-4609-b166-5c5d1283d874,exam-hall-04,SINGLE_CHOICE,DRAFT,,,"A large-scale, multiyear transformation project was completed as per the defined requirements and within the approved budget and schedule. The requirements were also validated and confirmed by the business. However, the post-delivery analysis of the project revealed that the project did not provide benefits as expected. What should the project manager have done to avoid this?",,,A,,A.Ensured the requirements were properly captured in the product backlog.,,,FALSE,B,,B.Created a business strategy to assist with organizational change management.,,,FALSE,C,,C.Improved the status reporting processes to highlight specific project results.,,,FALSE,D,,D.Measured and demonstrated business value throughout the project lifecycle.,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47d4fad3-dc36-4a55-b468-a0091b970183,exam-hall-04,SINGLE_CHOICE,DRAFT,,,"A project manager is managing a hybrid project with a fixed time and fixed price agreement. The project manager is having difficulty getting the team to submit their time sheets. The feedback received from the team is that work will be delivered every two weeks, so no time sheets are required. However, the project manager needs the time sheets to complete a cost assessment of the project. What should the project manager do to ensure all team members submit their time sheets as required?",,,A,,A.Ask the project management office (PMO) to ensure the team submits their time sheets.,,,FALSE,B,,B.Send a weekly reminder to each team member notifying them to submit their time sheets.,,,FALSE,C,,C.Explain the impact of not submitting time sheets on the project's cost assessment.,,,TRUE,D,,D.Change the submission frequency for the time sheets from biweekly to weekly.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0619f12b-fa14-4f82-abee-169c4fb94351,exam-hall-04,MULTIPLE_CHOICE,DRAFT,,,"A department store chain is in the implementation stage of a project to replace the payment systems across all of its stores in multiple countries. The project planning followed a predictive approach, and implementation is based on multiple iterations for each country. Implementation in country C is stalled due to new laws regulating the security of the new payment solution implementation. Which two actions should the project manager take to avoid a significant delay on the project? (Choose two)",,,A,,A.Monitor compliance with the laws of each country continuously during planning and after implementation in each country.,,,TRUE,B,,B.Document the legal compliance risks in the project management plan for country C in the implementation phase and iterations.,,,FALSE,C,,C.Deploy alternative systems compatible with the security standards and legal framework for country C.,,,FALSE,D,,D.Execute another country's implementation phase after validating the compliance standards while a solution is prepared for country C.,,,TRUE,E,,"E.Communicate the delay in the project to the steering committee, and place the project on hold until a decision is reached.",,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f2452e5-9523-4c3e-aae9-6395d312a4d9,exam-hall-04,SINGLE_CHOICE,DRAFT,,,An organization previously using predictive approaches has recently decided to adopt the Scaled Agile Framework (SAFe®) approach. A critical project for the organization is in the middle of the execution phase at the time of this decision. Which approach should the project manager use to continue the project delivery?,,,A,,A.Scrum,,,FALSE,B,,B.Kanban,,,FALSE,C,,C.Predictive,,,TRUE,D,,D.Large-Scale Scrum (LeSS),,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21ad5466-9f36-404d-b85b-1a045be00e3d,exam-hall-04,SINGLE_CHOICE,DRAFT,,,"A project manager is leading a project that requires approval from a government agency. The agency is currently drafting legislation that will impact the project's approval process, but it is unclear when the legislation will become law. The project manager is concerned that the legislation may delay the project's key milestones or limit the project's development options. What should the project manager do?",,,A,,A.Apply for an additional contingency to prepare for the anticipated delay in project milestones.,,,FALSE,B,,B.Review the project scope and submit a request to exclude activities associated with the legislation.,,,FALSE,C,,C.Continuously evaluate exposure to the risk to minimize negative impacts on the project and its outcomes.,,,TRUE,D,,D.Proceed with the project with the understanding that the pending legislation will pass without delay.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
