external_id,topic_slug,type,status,content_vi,explanation_vi,content_en,explanation_en,media_ids,option_1_label,option_1_content_vi,option_1_content_en,option_1_match_vi,option_1_match_en,option_1_correct,option_2_label,option_2_content_vi,option_2_content_en,option_2_match_vi,option_2_match_en,option_2_correct,option_3_label,option_3_content_vi,option_3_content_en,option_3_match_vi,option_3_match_en,option_3_correct,option_4_label,option_4_content_vi,option_4_content_en,option_4_match_vi,option_4_match_en,option_4_correct,option_5_label,option_5_content_vi,option_5_content_en,option_5_match_vi,option_5_match_en,option_5_correct,option_6_label,option_6_content_vi,option_6_content_en,option_6_match_vi,option_6_match_en,option_6_correct,option_7_label,option_7_content_vi,option_7_content_en,option_7_match_vi,option_7_match_en,option_7_correct,option_8_label,option_8_content_vi,option_8_content_en,option_8_match_vi,option_8_match_en,option_8_correct,option_9_label,option_9_content_vi,option_9_content_en,option_9_match_vi,option_9_match_en,option_9_correct,option_10_label,option_10_content_vi,option_10_content_en,option_10_match_vi,option_10_match_en,option_10_correct,option_11_label,option_11_content_vi,option_11_content_en,option_11_match_vi,option_11_match_en,option_11_correct,option_12_label,option_12_content_vi,option_12_content_en,option_12_match_vi,option_12_match_en,option_12_correct,option_13_label,option_13_content_vi,option_13_content_en,option_13_match_vi,option_13_match_en,option_13_correct,option_14_label,option_14_content_vi,option_14_content_en,option_14_match_vi,option_14_match_en,option_14_correct,option_15_label,option_15_content_vi,option_15_content_en,option_15_match_vi,option_15_match_en,option_15_correct,option_16_label,option_16_content_vi,option_16_content_en,option_16_match_vi,option_16_match_en,option_16_correct,option_17_label,option_17_content_vi,option_17_content_en,option_17_match_vi,option_17_match_en,option_17_correct,option_18_label,option_18_content_vi,option_18_content_en,option_18_match_vi,option_18_match_en,option_18_correct,option_19_label,option_19_content_vi,option_19_content_en,option_19_match_vi,option_19_match_en,option_19_correct,option_20_label,option_20_content_vi,option_20_content_en,option_20_match_vi,option_20_match_en,option_20_correct
033e331e-cf56-4b01-a635-8eef5a036bda,exam-hall-05,SINGLE_CHOICE,DRAFT,,,Some team members assigned to a new technology project expressed their lack of knowledge about the technology and the challenges they will face during implementation. What should the project manager do?,,,A,,"A.Due to the project due dates, replace the members with more knowledgeable staff.",,,FALSE,B,,B.Ask the team members to do some research and self-learning efforts about the technology.,,,FALSE,C,,C.Reallocate the members to work on and complete different tasks for which they have experience.,,,FALSE,D,,D.Reassure the team members that a training path is in place to learn the new technology.,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9e41ddf9-9a73-4f30-9708-1b9ca16271f8,exam-hall-05,MULTIPLE_CHOICE,DRAFT,,,"In two months, there will be a delivery of project machines from a factory. The project team is in the process of performing a follow-up meeting to review the commitments and dependencies regarding these machines. Which actions should the project team take to ensure that the deliveries are properly performed by the factory? (Choose 2).",,,A,,A.Ensure that they track and monitor all dependencies and report at regular intervals.,,,TRUE,B,,B.Send an email to the research and development factory one week before delivery.,,,FALSE,C,,C.Specify exactly when a dependency is required and for how long this requirement holds.,,,TRUE,D,,D.Schedule a meeting with the factory regarding how the machine is going to be manufactured.,,,FALSE,E,,E.Talk to the factory employees to ascertain if they are qualified to build the machines.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ea6f9f35-fd5d-4eb8-9871-85131d45a402,exam-hall-05,SINGLE_CHOICE,DRAFT,,,"A project team recently completed a long-term project using a predictive approach. The team then started a new project with the same project manager, but now they are using an agile approach. After the initial sprint, the team waits for the project manager to make decisions on behalf of the team, as has been done in previous projects. What should the project manager do?",,,A,,A.Ask the product owner to make decisions for the team.,,,FALSE,B,,B.Give continuous positive feedback to all team members.,,,FALSE,C,,C.Remind the team that they are using an agile approach.,,,FALSE,D,,D.Coach the team to guide and support their own decisions.,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71033653-8bb7-4b8d-a397-fe8bfa6a5a21,exam-hall-05,SINGLE_CHOICE,DRAFT,,,A project manager is facing a delay in a project due to a decision made by the functional manager to provide onsite support for another project without consulting other parties impacted by this decision. What should the project manager do first?,,,A,,A.Check the impact of the delay on schedule and cost.,,,TRUE,B,,B.Share the work schedule with the functional manager.,,,FALSE,C,,C.Meet with stakeholders to agree on a communications management plan.,,,FALSE,D,,D.Inform the customer about the delay and set a new delivery date.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e4f2e76-173e-4765-88e5-b18ae5c3e597,exam-hall-05,SINGLE_CHOICE,DRAFT,,,A project team has been tasked to build a new product. The team builds the demo first and add features to the initial product. This is an example of what technical practice?,,,A,,A.Test-Driven Development (TDD),,,FALSE,B,,B.Continuous Delivery,,,TRUE,C,,C.Behavior-Driven Development,,,FALSE,D,,D.Spikes,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ca6e8a4-4827-461e-882d-4bce82146e50,exam-hall-05,SINGLE_CHOICE,DRAFT,,,A company's project management office (PMO) is incorporating more adaptive technologies and has hired a new project manager with hybrid project management experience. The team is slow in adopting the new methodology and has not been updating project artifacts in a timely manner. Which action should the project manager take to improve the team's performance?,,,A,,A.Send an email asking all project team members to complete updates at the end of the day.,,,FALSE,B,,B.Set up a training session for all project team members.,,,TRUE,C,,C.Reach out to the functional managers for support.,,,FALSE,D,,D.Speak individually with each project team member about making the needed updates.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7baa8a9f-dd8d-46b8-a199-08fd56ff774a,exam-hall-05,SINGLE_CHOICE,DRAFT,,,A company has an existing contract to maintain and enhance a client's customer database. The company's legal department informs the project manager that a new piece of legislation requiring stricter protection of customer information might soon be signed into law. The law will require additional security features to be implemented into the database the project manager is maintaining. These features are not included in the scope of the current contract. What should the project manager do?,,,A,,A.Seek the project sponsor's support to influence the client to amend the contract immediately.,,,FALSE,B,,B.Ask the legal department to raise the issue in the next contract negotiation with the customer.,,,FALSE,C,,C.Update the risk register with the issue and plan risk response with the project sponsor and client.,,,TRUE,D,,D.Wait until the legal requirements are finalized so the change in scope can be concretely defined.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97fd678f-a8d1-4b2b-8a62-c98e0716b7d3,exam-hall-05,SINGLE_CHOICE,DRAFT,,,"A newly formed team has become accustomed to agile practices. The project lead has noticed that while they are performing according to expectations, there is boredom with daily team practices among many of the team members. What should the project lead do in this situation?",,,A,,A.Allow the team to self-organize and have them analyze the situation in their retrospective session and self correct.,,,FALSE,B,,B.Challenge the team to find new ways to achieve higher levels of performance to improve the situation.,,,TRUE,C,,C.Speak with individual team members to determine what they would like to do to improve the situation in the team.,,,FALSE,D,,D.Have the team inform senior management of the situation and ask for recommendations.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04b2ad39-983e-4f93-bcc9-940f62c97a0a,exam-hall-05,SINGLE_CHOICE,DRAFT,,,"A team member is hosting an event and invites several colleagues through their work calendars. Another team member, who was not invited to the event, is noticeably distracted during several standup meetings. What should the project manager do?",,,A,,A.Ask the individual who is hosting the event to mark it as private.,,,FALSE,B,,B.Set up a meeting with the distracted team member to discuss any issues.,,,TRUE,C,,C.Ask the individual who is hosting the event to use private communication methods.,,,FALSE,D,,D.Add a social events section to the charter to handle these situations.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f30b3215-cdb2-441e-afda-e9df4f8ebd69,exam-hall-05,SINGLE_CHOICE,DRAFT,,,"An agile project is running its fifth iteration out of 10. After the last retrospective, the team members realize that they had to work extra hours to deliver the committed work. What should the project manager do?",,,A,,A.Ask the team to have a lower commitment for the next iteration.,,,FALSE,B,,B.Ask for additional team members to maintain the velocity.,,,FALSE,C,,C.Conduct a focused retrospective to help the team to discover the root cause.,,,TRUE,D,,D.Implement a checkpoint in the iteration to verify if the team is on track.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793628c3-ccbc-48d2-962e-51ed28c95efc,exam-hall-05,SINGLE_CHOICE,DRAFT,,,A product team is using a prototyping approach to deliver a multiyear business initiative. The project manager notices that a few user stories are taking longer to be delivered. What should the project manager do?,,,A,,A.Review the project timeline and reallocate resources.,,,FALSE,B,,B.Conduct a retrospective with the team to identify bottlenecks.,,,TRUE,C,,C.Escalate the issue to senior management for intervention.,,,FALSE,D,,D.Modify the project scope to remove the delayed user stories.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9d6c2f4f-aeee-434e-9929-c57dfba0e01a,exam-hall-05,SINGLE_CHOICE,DRAFT,,,"Due to a recent incident, a dissatisfied stakeholder files a complaint about a project that has been closed. What can the project manager do to help resolve this?",,,A,,A.Execute the relationship management plan.,,,FALSE,B,,B.Consult with the project sponsor to manage the dissatisfied stakeholder.,,,FALSE,C,,C.Review the project management information system (PMIS) archives.,,,TRUE,D,,D.Update the risk register.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6a26e70-9827-4e35-9c0c-4386ab4e75ad,exam-hall-05,SINGLE_CHOICE,DRAFT,,,"During a project steering committee meeting, the project manager reports that a formerly supportive key team member has become resistant to and negative about changes. Where should this information be captured?",,,A,,"A.Responsible, accountable, consult, and inform (RACI) matrix",,,FALSE,B,,B.Stakeholders engagement assessment matrix,,,TRUE,C,,C.Risk register and issue log,,,FALSE,D,,D.Work performance reports,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443f0157-2f24-4351-b381-eebab1c53598,exam-hall-05,SINGLE_CHOICE,DRAFT,,,A team receives outsourced deliverables and determines that they do not meet the agreed-upon acceptance criteria. What should the project manager reference to verify this with the vendor?,,,A,,A.Procurement management plan,,,FALSE,B,,B.Request for proposal (RFP),,,FALSE,C,,C.Statement of work (SOW),,,TRUE,D,,D.Inspections,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43643476-344e-4894-a44c-bcf705d9b40d,exam-hall-05,SINGLE_CHOICE,DRAFT,,,"A project to create a new product is completed and introduced into the market, but sales are much lower than expected. Analysis determines that the product is misaligned with the organization's core competencies. During what activity should this have been discovered?",,,A,,A.What-if scenario analysis,,,FALSE,B,,B.Business case review,,,TRUE,C,,C.Strategic performance evaluation,,,FALSE,D,,D.Scope definition,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158e21f9-7b4a-485a-9cba-8af8aaf3d16f,exam-hall-05,SINGLE_CHOICE,DRAFT,,,"While working on a project, the project team realizes that recent data center upgrades could impact the project's outcome. Certain modules of the project deliverable are incompatible with the new environment. The team identifies the appropriate steps to address the issue. What is the next step for the project manager?",,,A,,A.Request a budget increase.,,,FALSE,B,,B.Submit a change request.,,,TRUE,C,,C.Change the project schedule.,,,FALSE,D,,D.Update the requirements document.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0f0415f3-0f44-47b9-9349-4363865f18c5,exam-hall-05,SINGLE_CHOICE,DRAFT,,,"A company is using Lean Six Sigma methodology on a project. Midway through the project, an external Lean consultant is invited to conduct an audit to ensure that the methodology is being properly applied. Which process is being employed?",,,A,,A.Manage Quality,,,TRUE,B,,B.Control Quality,,,FALSE,C,,C.Perform Qualitative Risk Analysis,,,FALSE,D,,D.Plan Quality Management,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1c05eb1-758c-426e-918d-9468585492f9,exam-hall-05,SINGLE_CHOICE,DRAFT,,,An experienced project manager is preparing a kick-off meeting for a new service assessment. A high-level description of the service has been provided. What should the project manager do first?,,,A,,A.Develop the project charter.,,,TRUE,B,,"B.Develop the responsible, accountable, consult, and inform (RACI) matrix.",,,FALSE,C,,C.Define the project scope statement.,,,FALSE,D,,D.Create the work breakdown structure (WBS).,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000a706-d2ba-4b1a-9477-62be23b04fb1,exam-hall-05,SINGLE_CHOICE,DRAFT,,,"During project execution, a project manager learns that a team member's functional manager wants to remove them from a project because they believe they should not execute a certain task due to conflicting priorities. What should the project manager do first?What should the project manager do first?",,,A,,A.Check the responsibility assignment matrix (RAM).,,,TRUE,B,,B.Check the work breakdown structure (WBS).,,,FALSE,C,,C.Check the organizational chart.,,,FALSE,D,,D.Check the resource management plan.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161e0a99-b24f-4844-8fad-ef5a29d8d52b,exam-hall-05,SINGLE_CHOICE,DRAFT,,,A project manager discovers a significant flaw in a major project deliverable. Which project management process is being performed?,,,A,,A.Manage Quality,,,FALSE,B,,B.Control Quality,,,TRUE,C,,C.Plan Quality Management,,,FALSE,D,,D.Statistical Sampling,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
